"","t","w","A","a","n","x"
"1",1,0.993079612490316,0,10,0,0
"2",2,0.986207116743916,0,0.948517463551336,0,0
"3",3,0.97938218133124,0,0.0899685378661859,0,0
"4",4,0.972604477116348,0,0.0085336729336257,0,0
"5",5,0.96587367724105,0,0.000809433780577933,0,0
"6",6,0.959189457109138,0,7.6776207646655e-05,0,0
"7",7,0.952551494370739,0,7.28235737380958e-06,0,0
"8",8,0.945959468906765,0,6.90744314488023e-07,0,0
"9",9,0.939413062813476,0,6.55183045140686e-08,0,0
"10",10,0.932911960387147,0,6.21452560138683e-09,0,0
"11",11,0.926455848108849,0,5.89458606060228e-10,0,0
"12",12,0.920044414629323,0,5.59111781888753e-11,0,0
"13",13,0.913677350753968,0,5.30327289198788e-12,0,0
"14",14,0.907354349427929,0,5.0302469520289e-13,0,0
"15",15,0.901075105721291,0,4.77127707997529e-14,0,0
"16",16,0.89483931681437,0,4.52563963379878e-15,0,0
"17",17,0.888646681983113,0,4.29264822639822e-16,0,0
"18",18,0.882496902584595,0,4.07165180762138e-17,0,0
"19",19,0.876389682042614,0,3.86203284502924e-18,0,0
"20",20,0.87032472583339,0,3.66320559831908e-19,0,0
"21",21,0.864301741471364,0,3.47461448258467e-20,0,0
"22",22,0.858320438495087,0,3.29573251583995e-21,0,0
"23",23,0.85238052845322,0,3.12605984646817e-22,0,0
"24",24,0.846481724890614,0,2.96512235648166e-23,0,0
"25",25,0.840623743334505,0,2.81247033668935e-24,0,0
"26",26,0.834806301280789,0,2.66767723006995e-25,0,0
"27",27,0.8290291181804,0,2.5303384398396e-26,0,0
"28",28,0.82329191542578,0,2.4000701988831e-27,0,0
"29",29,0.817594416337444,0,2.27650849738975e-28,0,0
"30",30,0.811936346150635,0,2.15930806569719e-29,0,0
"31",31,0.806317432002076,0,2.04814140950104e-30,0,0
"32",32,0.800737402916808,0,1.94269789473438e-31,0,0
"33",33,0.795195989795126,0,1.84268287955998e-32,0,0
"34",34,0.789692925399597,0,1.7478168910497e-33,0,0
"35",35,0.784227944342176,0,1.65783484425064e-34,0,0
"36",36,0.778800783071405,0,1.57248530145564e-35,0,0
"37",37,0.773411179859705,0,1.49152976960846e-36,0,0
"38",38,0.768058874790754,0,1.41474203388033e-37,0,0
"39",39,0.76274360974695,0,1.34190752555563e-38,0,0
"40",40,0.757465128396966,0,1.27282272246047e-39,0,0
"41",41,0.752223176183387,0,1.20729458025871e-40,0,0
"42",42,0.747017500310433,0,1.14513999302627e-41,0,0
"43",43,0.741847849731769,0,1.08618528159647e-42,0,0
"44",44,0.736713975138399,0,1.03026570824668e-43,0,0
"45",45,0.731615628946642,0,9.77225016370058e-45,0,0
"46",46,0.72655256528619,0,9.2691499384624e-46,0,0
"47",47,0.721524539988254,0.413984036054858,8.79195058890738e-47,0,0
"48",48,0.716531310573789,0.845141528251677,8.3393186722591e-48,0,0
"49",49,0.711572636241797,1.22413004205531,7.90998939475749e-49,0,0
"50",50,0.706648277857716,1.55729521699822,7.50276307743334e-50,0,0
"51",51,0.70175799794189,1.85020753306222,7.11650180383368e-51,0,0
"52",52,0.696901560658112,2.10775731618731,6.75012624033083e-52,0,0
"53",53,0.692078731802254,2.33423807154327,6.40261262012991e-53,0,0
"54",54,0.687289278790972,2.53341958079029,6.0729898825474e-54,0,0
"55",55,0.682532970650487,2.7086120227173,5.76033695956678e-55,0,0
"56",56,0.67780957800545,2.86272222157677,5.46378020208929e-56,0,0
"57",57,0.673118873067877,2.99830299145787,5.18249093868774e-57,0,0
"58",58,0.668460629626166,3.11759642580554,4.91568316004188e-58,0,0
"59",59,0.663834623034185,3.22257187664356,4.66261132258494e-59,0,0
"60",60,0.659240630200444,3.31495927638606,4.422568265224e-60,0,0
"61",61,0.654678429577328,3.39627837474037,4.1948832333129e-61,0,0
"62",62,0.650147801150422,3.46786439272418,3.97892000435598e-62,0,0
"63",63,0.645648526427892,3.5308905340222,3.7740751102054e-63,0,0
"64",64,0.641180388429955,3.58638773972254,3.57977615078426e-64,0,0
"65",65,0.63674317167841,3.6352620249639,3.39548019462345e-65,0,0
"66",66,0.63233666218625,3.67830969436727,3.22067226174303e-66,0,0
"67",67,0.627960647447341,3.71623069660167,3.05486388463864e-67,0,0
"68",68,0.623614916426173,3.74964034640701,2.89759174335202e-68,0,0
"69",69,0.619299259547685,3.7790796143171,2.74841637081155e-69,0,0
"70",70,0.615013468687154,3.80502415970327,2.60692092482514e-70,0,0
"71",71,0.610757337160164,3.8278922611698,2.47271002329404e-71,0,0
"72",72,0.606530659712633,3.84805177940145,2.34540863939283e-72,0,0
"73",73,0.602333232510918,3.86582627096309,2.22466105362828e-73,0,0
"74",74,0.598164853131982,3.88150035699563,2.11012985984894e-74,0,0
"75",75,0.594025320553635,3.89532443798774,2.00149502242785e-75,0,0
"76",76,0.58991443514484,3.90751883460934,1.89845298198389e-76,0,0
"77",77,0.585831998656081,3.9182774247768,1.80071580714282e-77,0,0
"78",78,0.581777814209808,3.92777083851131,1.70801038996791e-78,0,0
"79",79,0.577751686290939,3.93614926460188,1.62007768281169e-79,0,0
"80",80,0.573753420737433,3.9435449164635,1.53667197445667e-80,0,0
"81",81,0.569782824730923,3.95007419877344,1.45756020352206e-81,0,0
"82",82,0.565839706787423,3.95583961137487,1.38252130721811e-82,0,0
"83",83,0.561923876748088,3.96093142246969,1.3113456036282e-83,0,0
"84",84,0.558035145770047,3.96542913920287,1.24383420579262e-84,0,0
"85",85,0.554173326317295,3.9694028003033,1.1797984659568e-85,0,0
"86",86,0.550338232151649,3.97291411242996,1.1190594484311e-86,0,0
"87",87,0.546529678323765,3.97601744922667,1.06144742958903e-87,0,0
"88",88,0.542747481164222,3.97876072976729,1.00680142360687e-88,0,0
"89",89,0.538991458274661,3.98118619103678,9.54968732619461e-90,0,0
"90",90,0.53526142851899,3.98333106730615,9.05804520035045e-91,0,0
"91",91,0.531557212014652,3.98522818769173,8.59171405816976e-92,0,0
"92",92,0.527878630123943,3.98690650181263,8.14939082601353e-93,0,0
"93",93,0.524225505445404,3.9883915422528,7.72983951577888e-94,0,0
"94",94,0.520597661805262,3.98970583147437,7.33188777116547e-95,0,0
"95",95,0.516994924248934,3.9908692398983,6.95442359174893e-96,0,0
"96",96,0.513417119032592,3.99189930105203,6.59639222570726e-97,0,0
"97",97,0.509864073614781,3.99281148896696,6.2567932225176e-98,0,0
"98",98,0.506335616648101,3.99361946237904,5.93467763738758e-99,0,0
"99",99,0.502831577970941,3.99433527973363,5.6291453796097e-100,0,0
"100",100,0.499351788599276,3.99496958851021,5.33934269742911e-101,0,0
"101",101,0.495896080718515,3.9955317919568,5.06445979239681e-102,0,0
"102",102,0.49246428767541,3.99603019594978,4.80372855654195e-103,0,0
"103",103,0.489056243970015,3.99647213836606,4.55642042604028e-104,0,0
"104",104,0.485671785247712,3.99686410306627,4.32184434538123e-105,0,0
"105",105,0.482310748291278,3.99721182033372,4.09934483634468e-106,0,0
"106",106,0.478972971013017,3.99752035539169,3.88830016639192e-107,0,0
"107",107,0.475658292446942,3.99779418642527,3.6881206113523e-108,0,0
"108",108,0.472366552741015,3.99803727336283,3.49824680755129e-109,0,0
"109",109,0.469097593149433,3.99825311852042,3.31814818877511e-110,0,0
"110",110,0.465851256024979,3.9984448200801,3.14732150370442e-111,0,0
"111",111,0.462627384811413,3.99861511925623,2.98528940967429e-112,0,0
