"","t","w","A","a","n","x"
"1",1,4.35162362916695,0,10,0,0
"2",2,3.78732564198483,0,5.3788284273999,0,0
"3",3,3.29620315100222,0,2.89317952514053,0,0
"4",4,2.86876710368716,0,1.55619162753972,0,0
"5",5,2.49675894299638,0,0.837048776469239,0,0
"6",6,2.17299104253539,0,0.450234175399305,0,0
"7",7,1.89120783333303,0,0.242173238162473,0,0
"8",8,1.64596493903953,0,0.13026082977838,0,0
"9",9,1.43252398430095,0,0.0700650654188649,0,0
"10",10,1.24676104388648,0,0.0376867965642625,0,0
"11",11,1.08508696370025,0,0.0202710812697492,0,0
"12",12,0.944378014187809,0,0.0109034668187861,0,0
"13",13,0.821915536281087,0,0.0058647877282098,0,0
"14",14,0.715333413772041,0,0.0031545686953161,0,0
"15",15,0.622572357220615,0,0.00169678837745521,0,0
"16",16,0.541840116109479,0,0.000912673355993781,0,0
"17",17,0.471576850498515,0,0.000490911339214982,0,0
"18",18,0.410424993119494,0,0.00026405278667025,0,0
"19",19,0.357203019611895,0,0.00014202946352761,0,0
"20",20,0.310882620110582,0,7.63952115950668e-05,0,0
"21",21,0.270568831114108,0,4.10916735844776e-05,0,0
"22",22,0.235482743758447,0,2.21025062005626e-05,0,0
"23",23,0.204946454400065,0,1.18885588668369e-05,0,0
"24",24,0.178369966736262,0,6.39465183937593e-06,0,0
"25",25,0.155239792396648,0,3.43957350969603e-06,0,0
"26",26,0.135109029756045,0,1.85008757720847e-06,0,0
"27",27,0.117588729280046,0,9.95130365346831e-07,0,0
"28",28,0.102340378571752,0,5.35263549809639e-07,0,0
"29",29,0.0890693619221458,0,2.87909079786707e-07,0,0
"30",30,0.0775192679950466,0,1.54861354286328e-07,0,0
"31",31,0.0674669356645941,0,8.32972654740951e-08,0,0
"32",32,0.0587181422851068,0,4.48041699456739e-08,0,0
"33",33,0.0511038510857316,0,2.40993942969847e-08,0,0
"34",34,0.0444769451852198,0,1.2962650712774e-08,0,0
"35",35,0.0387093851242331,0,6.97238741483247e-09,0,0
"36",36,0.0336897349954273,0,3.75032756337462e-09,0,0
"37",37,0.0293210093732949,0,2.01723685099408e-09,0,0
"38",38,0.0255187994439711,0,1.08503709189256e-09,0,0
"39",39,0.0222096421296715,0,5.83622835465503e-10,0,0
"40",40,0.019329600697364,0,3.13920709828158e-10,0,0
"41",41,0.0168230294274023,0,1.68852563797325e-10,0,0
"42",42,0.0146414984740909,0,9.0822897019241e-11,0,0
"43",43,0.0127428581452532,0,4.88520780345907e-11,0,0
"44",44,0.0110904245216013,0,2.62766946070015e-11,0,0
"45",45,0.00965227068113855,0,1.41337831930245e-11,0,0
"46",46,0.00840060983423158,0,7.60231948253473e-12,0,0
"47",47,0.00731125845081088,0.413984036054858,4.08915721468339e-12,0,0
"48",48,0.00636316900669904,0.845141528251677,2.19948750704464e-12,0,0
"49",49,0.00553802332118687,1.22413004205531,1.18306659286027e-12,0,0
"50",50,0.00481987862867089,1.55729521699822,6.36351222118395e-13,0,0
"51",51,0.00419485954604821,1.85020753306222,3.42282404334109e-13,0,0
"52",52,0.00365088998432399,2.10775731618731,1.84107832663109e-13,0,0
"53",53,0.00317745982465464,2.33423807154327,9.90284444035317e-14,0,0
"54",54,0.00276542185073917,2.53341958079029,5.32657011878907e-14,0,0
"55",55,0.00240681501405823,2.7086120227173,2.86507067754815e-14,0,0
"56",56,0.00209471061724192,2.86272222157677,1.54107236069059e-14,0,0
"57",57,0.00182307844365137,2.99830299145787,8.28916382236282e-15,0,0
"58",58,0.00158667024664364,3.11759642580554,4.45859900071e-15,0,0
"59",59,0.00138091834739812,3.22257187664356,2.39820390513957e-15,0,0
"60",60,0.00120184738209757,3.31495927638606,1.28995273396662e-15,0,0
"61",61,0.00104599749331765,3.39627837474037,6.93843443546188e-16,0,0
"62",62,0.000910357481594095,3.46786439272418,3.73206483831127e-16,0,0
"63",63,0.000792306625578756,3.5308905340222,2.00741364452083e-16,0,0
"64",64,0.00068956404668281,3.58638773972254,1.07975335766991e-16,0,0
"65",65,0.000600144639873779,3.6352620249639,5.8078080548154e-17,0,0
"66",66,0.000522320719158526,3.67830969436727,3.12392030661232e-17,0,0
"67",67,0.000454588636698744,3.71623069660167,1.68030313501382e-17,0,0
"68",68,0.000395639730601809,3.74964034640701,9.03806226926148e-18,0,0
"69",69,0.000344335040064816,3.7790796143171,4.86141862625141e-18,0,0
"70",70,0.00029968329933924,3.80502415970327,2.61487367043725e-18,0,0
